검색조건
대출기간,2023-05-01 ~ 2023-05-19
성별,남성
연령,40대
지역,전체
ISBN 부가기호,전체
주제,전체

제공기관 : 국립중앙도서관
데이터 제공일 : 2023-05-20
이용허락조건 : 저작자표시(BY) - 저작자와 출처 등을 표시하면 영리 목적의 이용이나 변경 및 2차적 저작물의 작성을 포함한 자유이용을 허락합니다.

순위,서명,저자,출판사,출판년도,권,ISBN,ISBN부가기호,KDC,대출건수,
"119","놓지 마 과학!","글·그림: 신태훈,나승훈","위즈덤하우스 미디어그룹","2016","14","9791190908184","67400","408","88",
"119","돈의 심리학 :당신은 왜 부자가 되지 못했는가 ","모건 하우절 지음 ;이지연 옮김","인플루엔셜","2021","","9791191056372","03320","327.04","88",
"119","설민석의 세계사 대모험","글: 설민석,그림: 박성일","단꿈아이","2019","13","9791191496000","77900","909","88",
"129","마법천자문 :손오공의 한자 대탐험","저자: 스튜디오시리얼,정수영","아울북","2005","56","9788950942694","77720","711.4","87",
"129","장하준의 경제학 레시피 - 마늘에서 초콜릿까지 18가지 재료로 요리한 경제 이야기","장하준 (지은이), 김희정 (옮긴이)","부키","2023","","9788960519794","","","87",
"129","(이상한 과자 가게) 전천당","히로시마 레이코 글 ;김정화 옮김","길벗스쿨","2019","9","9791164062898","74830","833.6","87",
"129","이상한 과자 가게 전천당 17","히로시마 레이코 (지은이), 쟈쟈 (그림), 김정화 (옮긴이)","길벗스쿨","2023","17","9791164065097","","","87",
"129","(흔한남매) 별난 방탈출 :탈출 미션 스토리북","흔한남매 원작 ;차차 그림","미래엔","2020","5","9791168411692","77810","691","87",
"129","(설민석의) 한국사 대모험","글: 설민석,그림: 정현희","휴먼큐브","2017","6","9791188874088","74910","911","87",
"129","놓지 마 과학!","글·그림: 신태훈,나승훈","위즈덤하우스 미디어그룹","2016","11","9791190182737","67400","408","87",
"129","천하무적 개냥이 수사대","이승민 글 ;하민석 그림","위즈덤하우스","2020","1","9791190786508","74810","813.7","87",
